dataset,sample_id,response,is_success,total_distance,run_time,routes,timestamp
X-n110-k13,0,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters based on problem size and characteristics
    """"""
    num_ants = 20  # Increased exploration
    num_iterations = 200  # More iterations for convergence
    alpha = 1.5  # Higher pheromone influence
    beta = 3  # Stronger heuristic bias
    rho = 0.3  # Slower pheromone evaporation
    Q = 150  # Increased pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17990.59831327398,27.65742516517639,"[[0, 14, 3, 108, 91, 5, 46, 89, 0], [0, 49, 19, 58, 12, 41, 68, 54, 96, 88, 0], [0, 1, 79, 32, 105, 45, 34, 67, 51, 85, 0], [0, 69, 109, 18, 25, 103, 24, 84, 4, 101, 56, 0], [0, 52, 50, 39, 28, 31, 17, 27, 65, 95, 0], [0, 38, 90, 16, 70, 44, 81, 94, 37, 0], [0, 100, 40, 47, 86, 10, 63, 72, 21, 75, 0], [0, 8, 62, 48, 57, 13, 23, 82, 0], [0, 71, 80, 30, 2, 43, 93, 104, 60, 61, 22, 0], [0, 6, 77, 87, 26, 15, 53, 98, 66, 42, 78, 0], [0, 59, 36, 99, 64, 83, 76, 55, 0], [0, 102, 33, 9, 11, 20, 92, 106, 97, 0], [0, 35, 73, 7, 107, 29, 74, 0]]",2025-04-17 20:35:23
X-n110-k13,1,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Adjusted parameters for large CVRP instance
    """"""
    num_ants = 30  # More ants for better exploration
    num_iterations = 150  # Balance between runtime and quality
    alpha = 1.2  # Moderate pheromone influence
    beta = 2.5  # Strong heuristic guidance
    rho = 0.4  # Balanced evaporation rate
    Q = 120  # Adjusted pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17117.604766940873,31.11245894432068,"[[0, 49, 14, 3, 108, 91, 5, 46, 6, 0], [0, 38, 89, 45, 34, 67, 106, 97, 92, 0], [0, 1, 79, 32, 105, 20, 74, 78, 29, 44, 0], [0, 62, 8, 100, 40, 47, 86, 10, 63, 72, 0], [0, 52, 50, 39, 28, 31, 17, 27, 65, 95, 0], [0, 19, 58, 12, 41, 68, 54, 96, 88, 21, 0], [0, 2, 43, 93, 104, 60, 61, 22, 83, 76, 0], [0, 71, 80, 30, 56, 55, 102, 33, 9, 4, 101, 0], [0, 48, 73, 35, 7, 37, 94, 81, 107, 0], [0, 90, 16, 70, 23, 13, 57, 82, 0], [0, 69, 109, 18, 25, 103, 24, 84, 87, 26, 0], [0, 77, 51, 85, 11, 15, 53, 66, 98, 42, 0], [0, 59, 36, 64, 99, 75, 0]]",2025-04-17 20:35:54
X-n110-k13,2,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for large-scale CVRP with 110 locations
    """"""
    num_ants = 25  # Balanced exploration for large problem
    num_iterations = 180  # Sufficient iterations for convergence
    alpha = 1.3  # Slightly increased pheromone influence
    beta = 2.8  # Strong heuristic guidance
    rho = 0.35  # Moderate evaporation rate
    Q = 130  # Adjusted pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17681.875775920133,30.90017580986023,"[[0, 49, 14, 3, 108, 91, 5, 46, 6, 0], [0, 8, 62, 100, 40, 47, 86, 10, 63, 72, 0], [0, 19, 58, 12, 41, 68, 54, 96, 88, 21, 0], [0, 52, 50, 39, 28, 31, 17, 27, 65, 95, 0], [0, 38, 89, 45, 34, 67, 106, 92, 20, 0], [0, 109, 18, 69, 30, 80, 71, 2, 43, 0], [0, 1, 79, 32, 105, 97, 42, 98, 66, 53, 85, 0], [0, 77, 11, 51, 15, 26, 87, 9, 33, 0], [0, 90, 16, 70, 44, 81, 29, 78, 74, 0], [0, 48, 57, 82, 107, 7, 37, 94, 23, 0], [0, 25, 103, 24, 84, 4, 101, 102, 55, 76, 56, 0], [0, 99, 36, 64, 104, 60, 61, 22, 83, 93, 0], [0, 59, 75, 35, 73, 13, 0]]",2025-04-17 20:36:25
X-n110-k13,3,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for large CVRP with 110 locations and 13 vehicles
    """"""
    num_ants = 15  # Balanced exploration for problem size
    num_iterations = 250  # More iterations needed for convergence
    alpha = 1.2  # Moderate pheromone influence
    beta = 3.0  # Strong heuristic bias for large distance matrix
    rho = 0.4  # Balanced evaporation rate
    Q = 200  # Higher pheromone deposit for better reinforcement
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17957.343623610628,25.99541401863098,"[[0, 49, 14, 3, 108, 91, 5, 46, 6, 0], [0, 52, 50, 39, 28, 31, 17, 27, 65, 95, 0], [0, 19, 58, 12, 41, 68, 54, 96, 88, 21, 0], [0, 69, 109, 18, 25, 103, 24, 84, 4, 101, 56, 0], [0, 38, 89, 45, 34, 67, 106, 97, 92, 0], [0, 48, 57, 13, 23, 81, 29, 44, 0], [0, 71, 80, 30, 2, 43, 93, 104, 60, 61, 22, 0], [0, 1, 79, 32, 105, 20, 74, 78, 16, 70, 0], [0, 62, 8, 100, 40, 47, 86, 10, 63, 72, 0], [0, 90, 82, 107, 7, 37, 94, 35, 73, 0], [0, 77, 11, 85, 51, 98, 15, 53, 26, 87, 0], [0, 55, 76, 83, 102, 9, 33, 66, 42, 0], [0, 64, 99, 36, 59, 75, 0]]",2025-04-17 20:36:51
X-n110-k13,4,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for large CVRP with 110 locations
    """"""
    num_ants = 20  # Balanced exploration for problem size
    num_iterations = 200  # Sufficient iterations for convergence
    alpha = 1.2  # Moderate pheromone influence
    beta = 2.5  # Strong heuristic guidance
    rho = 0.35  # Balanced evaporation rate
    Q = 150  # Adjusted pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17613.163892254383,27.403484106063843,"[[0, 80, 30, 56, 55, 76, 83, 22, 61, 60, 104, 0], [0, 52, 50, 39, 28, 31, 17, 27, 65, 95, 0], [0, 49, 14, 3, 108, 91, 5, 46, 6, 0], [0, 106, 97, 42, 98, 66, 15, 53, 26, 87, 0], [0, 38, 89, 45, 34, 67, 92, 20, 74, 0], [0, 71, 2, 43, 93, 99, 36, 64, 59, 0], [0, 19, 58, 12, 41, 68, 54, 96, 88, 21, 0], [0, 48, 73, 35, 7, 37, 94, 82, 107, 0], [0, 77, 11, 51, 85, 102, 33, 9, 4, 101, 0], [0, 1, 79, 32, 105, 29, 70, 44, 81, 10, 0], [0, 62, 8, 100, 40, 47, 86, 63, 72, 75, 0], [0, 23, 13, 57, 78, 16, 90, 69, 0], [0, 109, 18, 25, 103, 24, 84, 0]]",2025-04-17 20:37:18
X-n115-k10,0,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters based on problem characteristics
    """"""
    num_ants = 20  # Increased exploration
    num_iterations = 200  # More iterations for convergence
    alpha = 1.2  # Slightly higher pheromone influence
    beta = 2.5  # Stronger heuristic bias
    rho = 0.3  # Lower evaporation rate to preserve good solutions
    Q = 150  # Higher pheromone deposit for better solutions
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17197.345599814365,27.80686902999878,"[[0, 50, 52, 21, 82, 88, 53, 78, 29, 9, 28, 100, 57, 92, 107, 95, 59, 42, 109, 47, 73, 60, 48, 0], [0, 15, 32, 17, 89, 66, 16, 104, 41, 91, 2, 23, 65, 113, 58, 77, 0], [0, 46, 64, 26, 72, 102, 24, 98, 7, 74, 37, 90, 39, 67, 40, 43, 68, 14, 83, 75, 84, 63, 0], [0, 13, 70, 36, 56, 31, 11, 81, 33, 61, 103, 97, 80, 55, 76, 71, 85, 0], [0, 111, 110, 112, 105, 27, 44, 30, 114, 94, 20, 101, 62, 54, 35, 99, 49, 79, 87, 86, 108, 19, 51, 25, 22, 96, 45, 38, 69, 34, 0], [0, 10, 93, 18, 106, 0], [0, 1, 8, 0], [0, 6, 5, 0], [0, 4, 0], [0, 3, 12, 0]]",2025-04-17 20:38:41
X-n115-k10,1,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for large-scale CVRP
    """"""
    num_ants = 15  # Balanced exploration
    num_iterations = 150  # Sufficient iterations for convergence
    alpha = 1.0  # Standard pheromone influence
    beta = 3.0  # Strong heuristic bias for large problems
    rho = 0.4  # Moderate evaporation rate
    Q = 120  # Balanced pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17563.19996567982,16.370991230010986,"[[0, 15, 104, 41, 91, 2, 23, 65, 113, 58, 77, 38, 97, 80, 55, 76, 71, 98, 0], [0, 111, 110, 112, 105, 27, 44, 30, 114, 75, 83, 84, 8, 14, 68, 67, 43, 40, 90, 39, 37, 74, 63, 34, 0], [0, 50, 52, 21, 82, 88, 53, 78, 29, 28, 100, 57, 92, 35, 99, 49, 109, 18, 93, 47, 79, 87, 73, 60, 48, 108, 19, 51, 25, 22, 81, 31, 0], [0, 10, 42, 59, 95, 107, 20, 101, 62, 54, 94, 72, 102, 24, 69, 0], [0, 46, 64, 85, 7, 1, 0], [0, 13, 70, 36, 56, 103, 61, 33, 11, 45, 96, 89, 17, 0], [0, 3, 106, 66, 16, 32, 26, 86, 0], [0, 6, 5, 0], [0, 4, 9, 0], [0, 12, 0]]",2025-04-17 20:38:58
X-n115-k10,2,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for medium-sized CVRP with 115 locations
    """"""
    num_ants = 25  # More ants for better exploration
    num_iterations = 250  # More iterations for convergence
    alpha = 1.5  # Higher pheromone influence
    beta = 2.2  # Balanced heuristic bias
    rho = 0.2  # Lower evaporation to preserve good paths
    Q = 200  # Higher pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17371.63973315372,42.99417972564697,"[[0, 13, 70, 56, 36, 31, 11, 81, 33, 103, 61, 97, 80, 55, 76, 71, 98, 0], [0, 15, 32, 89, 17, 66, 16, 104, 41, 91, 2, 23, 65, 113, 58, 77, 0], [0, 46, 64, 85, 26, 72, 102, 24, 37, 90, 39, 67, 40, 43, 68, 14, 83, 75, 84, 74, 7, 63, 0], [0, 50, 52, 21, 82, 88, 53, 78, 29, 28, 100, 57, 92, 107, 95, 59, 42, 18, 109, 93, 49, 99, 35, 47, 79, 87, 73, 60, 48, 19, 69, 34, 0], [0, 4, 101, 20, 94, 62, 114, 54, 30, 27, 44, 105, 112, 110, 111, 0], [0, 10, 106, 86, 108, 51, 25, 22, 96, 45, 38, 0], [0, 1, 8, 0], [0, 3, 5, 0], [0, 12, 6, 0], [0, 9, 0]]",2025-04-17 20:39:41
X-n115-k10,3,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for large CVRP with 115 locations
    """"""
    num_ants = 30  # Increased exploration for large problem
    num_iterations = 300  # More iterations needed for convergence
    alpha = 1.3  # Balanced pheromone influence
    beta = 2.8  # Strong heuristic bias for large distances
    rho = 0.25  # Lower evaporation to preserve good solutions
    Q = 180  # Higher pheromone deposit for better reinforcement
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17016.446611853375,62.483201026916504,"[[0, 15, 32, 89, 17, 66, 16, 104, 41, 91, 2, 23, 65, 113, 58, 77, 0], [0, 13, 70, 36, 56, 31, 11, 81, 33, 61, 103, 97, 80, 55, 76, 71, 98, 0], [0, 50, 52, 21, 82, 88, 53, 78, 29, 9, 28, 100, 57, 92, 107, 95, 59, 42, 35, 109, 0], [0, 46, 64, 26, 72, 102, 24, 69, 34, 63, 74, 7, 37, 90, 39, 67, 40, 43, 68, 14, 83, 75, 84, 30, 54, 0], [0, 85, 110, 112, 105, 27, 44, 114, 94, 20, 101, 4, 62, 47, 73, 0], [0, 3, 106, 93, 18, 49, 99, 79, 87, 86, 108, 48, 60, 19, 25, 0], [0, 111, 12, 45, 96, 22, 51, 38, 0], [0, 1, 8, 0], [0, 10, 0], [0, 6, 5, 0]]",2025-04-17 20:40:43
X-n115-k10,4,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for large CVRP with 115 locations and high demands
    """"""
    num_ants = 25  # Balanced exploration-exploitation
    num_iterations = 200  # Sufficient iterations for convergence
    alpha = 1.2  # Moderate pheromone influence
    beta = 2.5  # Strong heuristic bias for large problems
    rho = 0.3  # Moderate evaporation rate
    Q = 150  # Balanced pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,17602.70840207587,35.28809905052185,"[[0, 15, 32, 89, 17, 66, 16, 104, 41, 91, 2, 23, 65, 113, 58, 77, 0], [0, 13, 70, 56, 36, 31, 11, 81, 33, 61, 103, 97, 80, 55, 76, 71, 98, 0], [0, 50, 52, 21, 82, 88, 53, 78, 29, 28, 100, 57, 92, 107, 95, 59, 42, 18, 93, 109, 47, 79, 49, 99, 35, 106, 73, 60, 0], [0, 46, 64, 26, 72, 102, 24, 69, 34, 63, 74, 7, 37, 90, 39, 67, 40, 43, 68, 14, 83, 75, 84, 30, 54, 0], [0, 10, 9, 62, 0], [0, 111, 110, 112, 105, 27, 44, 114, 94, 20, 101, 4, 87, 86, 48, 19, 0], [0, 3, 5, 108, 0], [0, 12, 45, 96, 22, 51, 25, 38, 85, 0], [0, 1, 8, 0], [0, 6, 0]]",2025-04-17 20:41:18
