dataset,sample_id,response,is_success,total_distance,run_time,routes,timestamp
A-n32-k5,0,"Here's the improved `construction_heuristic` function that incorporates both distance and demand factors while maintaining feasibility:

```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combine distance and demand factors with capacity utilization
    distance_factor = ctx.distance
    demand_factor = ctx.demand / ctx.vehicle_capacity
    utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    
    # Weighted combination favoring closer nodes with higher utilization
    return distance_factor * (1 + demand_factor) * (1 + utilization)
```",True,1160.1401126287265,4.63155198097229,"[[0, 30, 26, 16, 12, 1, 7, 18, 22, 29, 14, 0], [0, 27, 24, 8, 10, 25, 5, 20, 0], [0, 11, 4, 28, 23, 2, 3, 6, 0], [0, 13, 21, 31, 19, 17, 9, 0], [0, 15, 0]]",2025-04-18 00:06:37
A-n32-k5,1,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combine distance, demand and angular deviation from depot
    depot_loc = ctx.locations[ctx.depot]
    current_loc = ctx.locations[ctx.candidate]
    last_loc = ctx.locations[ctx.candidate]  # Simplified for heuristic
    
    # Calculate vectors
    vec1 = np.array([current_loc[0] - depot_loc[0], current_loc[1] - depot_loc[1]])
    vec2 = np.array([last_loc[0] - depot_loc[0], last_loc[1] - depot_loc[1]])
    
    # Normalize vectors and calculate cosine similarity
    norm1 = np.linalg.norm(vec1)
    norm2 = np.linalg.norm(vec2)
    cosine_sim = np.dot(vec1, vec2) / (norm1 * norm2) if norm1 * norm2 > 0 else 0
    
    # Combine factors with weights
    return (0.6 * ctx.distance + 
            0.2 * (1 - cosine_sim) + 
            0.2 * (ctx.demand / ctx.vehicle_capacity))
```",True,1118.2647889064563,4.365885257720947,"[[0, 30, 26, 16, 12, 1, 7, 18, 22, 29, 14, 0], [0, 27, 24, 8, 10, 25, 5, 20, 0], [0, 13, 21, 31, 19, 17, 3, 23, 0], [0, 6, 2, 28, 4, 11, 9, 0], [0, 15, 0]]",2025-04-18 00:06:41
A-n32-k5,2,"Here's the improved `construction_heuristic` function that balances distance, demand, and capacity utilization:

```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Weighted combination of distance, demand and capacity utilization
    distance_weight = 0.7
    demand_weight = 0.2
    utilization_weight = 0.1
    
    normalized_distance = ctx.distance / np.max(ctx.distance_matrix) if np.max(ctx.distance_matrix) > 0 else 0
    normalized_demand = ctx.demand / ctx.vehicle_capacity
    utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    
    return (distance_weight * normalized_distance + 
            demand_weight * normalized_demand + 
            utilization_weight * utilization)
```",False,N/A,1.8386869430541992,[],2025-04-18 00:06:43
A-n32-k5,3,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combine distance and demand with capacity-aware weighting
    distance_factor = ctx.distance / np.max(ctx.distance_matrix) if np.max(ctx.distance_matrix) > 0 else 0
    demand_factor = ctx.demand / ctx.vehicle_capacity
    capacity_utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    
    # Prioritize closer nodes that better utilize remaining capacity
    return distance_factor * (1 + demand_factor) * (1 + capacity_utilization)
```",False,N/A,1.8058879375457764,[],2025-04-18 00:06:45
A-n32-k5,4,"Here's the improved `construction_heuristic` function that balances distance, demand, and spatial distribution:

```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Calculate spatial direction factor
    depot_loc = ctx.locations[ctx.depot]
    current_loc = ctx.locations[ctx.candidate]
    vec = np.array([current_loc[0]-depot_loc[0], current_loc[1]-depot_loc[1]])
    direction_factor = np.linalg.norm(vec) / (1 + abs(vec[0]) + abs(vec[1]))
    
    # Combine factors with dynamic weights
    distance_weight = 0.6
    demand_weight = 0.2 * (1 - ctx.vehicle_load/ctx.vehicle_capacity)
    direction_weight = 0.2
    
    return (distance_weight * ctx.distance + 
            demand_weight * ctx.demand + 
            direction_weight * direction_factor)
```",True,1164.3649287816027,4.393907070159912,"[[0, 30, 26, 16, 12, 1, 7, 18, 22, 29, 14, 0], [0, 27, 8, 23, 2, 3, 6, 24, 0], [0, 20, 5, 25, 10, 15, 9, 11, 0], [0, 13, 21, 31, 19, 17, 28, 0], [0, 4, 0]]",2025-04-18 00:06:50
A-n37-k5,0,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Incorporate distance, demand, and angular deviation from depot
    depot_loc = ctx.locations[ctx.depot]
    candidate_loc = ctx.locations[ctx.candidate]
    
    # Calculate vector from depot to current node and candidate node
    current_node = ctx.vehicle_load  # Using load as proxy for current position
    if current_node == 0:
        return ctx.distance  # First node selection
    
    # Calculate angular deviation (simplified)
    dx1 = candidate_loc[0] - depot_loc[0]
    dy1 = candidate_loc[1] - depot_loc[1]
    dx2 = current_node - depot_loc[0]  # Simplified approximation
    dy2 = ctx.vehicle_load - depot_loc[1]  # Simplified approximation
    
    dot = dx1*dx2 + dy1*dy2
    det = dx1*dy2 - dx2*dy1
    angle = np.arctan2(det, dot)
    
    # Combined score with weights
    return 0.7 * ctx.distance + 0.2 * ctx.demand + 0.1 * abs(angle)
```",True,973.2084245844514,7.744605779647827,"[[0, 15, 34, 36, 29, 28, 31, 26, 30, 18, 25, 24, 23, 14, 17, 3, 0], [0, 21, 16, 7, 4, 33, 5, 13, 10, 9, 0], [0, 1, 12, 2, 19, 20, 11, 0], [0, 22, 6, 27, 8, 35, 0], [0, 32, 0]]",2025-04-18 00:08:05
A-n37-k5,1,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combine distance, demand and spatial proximity to current route
    distance_score = ctx.distance / np.max(ctx.distance_matrix)
    demand_score = ctx.demand / ctx.vehicle_capacity
    remaining_capacity = (ctx.vehicle_capacity - ctx.vehicle_load) / ctx.vehicle_capacity
    
    # Weighted combination favoring distance first, then capacity utilization
    return 0.6 * distance_score + 0.3 * (1 - remaining_capacity) + 0.1 * demand_score
```",False,N/A,1.8239789009094238,[],2025-04-18 00:08:06
A-n37-k5,2,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combine distance, demand and capacity utilization with dynamic weights
    distance_norm = ctx.distance / np.max(ctx.distance_matrix)
    demand_norm = ctx.demand / ctx.vehicle_capacity
    capacity_util = ctx.vehicle_load / ctx.vehicle_capacity
    
    # Dynamic weights based on current capacity utilization
    if capacity_util < 0.5:
        return 0.7 * distance_norm + 0.2 * demand_norm + 0.1 * capacity_util
    else:
        return 0.5 * distance_norm + 0.4 * (1 - demand_norm) + 0.1 * capacity_util
```",False,N/A,1.8080909252166748,[],2025-04-18 00:08:08
A-n37-k5,3,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combine distance, demand and polar coordinate angle from depot
    depot_loc = ctx.locations[ctx.depot]
    candidate_loc = ctx.locations[ctx.candidate]
    
    # Calculate polar angle difference from depot
    dx = candidate_loc[0] - depot_loc[0]
    dy = candidate_loc[1] - depot_loc[1]
    angle = np.arctan2(dy, dx)
    
    # Normalize components
    distance_norm = ctx.distance / np.max(ctx.distance_matrix)
    demand_norm = ctx.demand / ctx.vehicle_capacity
    angle_norm = abs(angle) / np.pi  # Normalize to [0,1]
    
    # Weighted combination favoring clusters in similar directions
    return 0.5 * distance_norm + 0.3 * demand_norm + 0.2 * angle_norm
```",False,N/A,1.7942008972167969,[],2025-04-18 00:08:10
A-n37-k5,4,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combine distance, demand and spatial clustering with adaptive weights
    distance_norm = ctx.distance / np.max(ctx.distance_matrix)
    demand_norm = ctx.demand / ctx.vehicle_capacity
    capacity_ratio = ctx.vehicle_load / ctx.vehicle_capacity
    
    # Adaptive weights based on remaining capacity
    if capacity_ratio < 0.3:
        # Early route: prioritize distance and clustering
        depot_loc = ctx.locations[ctx.depot]
        candidate_loc = ctx.locations[ctx.candidate]
        cluster_score = np.linalg.norm(np.array(depot_loc) - np.array(candidate_loc))
        return 0.5 * distance_norm + 0.3 * cluster_score + 0.2 * demand_norm
    else:
        # Later route: prioritize capacity utilization
        return 0.4 * distance_norm + 0.5 * (1 - demand_norm) + 0.1 * capacity_ratio
```",False,N/A,1.8407669067382812,[],2025-04-18 00:08:12
