dataset,sample_id,response,is_success,total_distance,run_time,routes,timestamp
A-n32-k5,0,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for better convergence and exploration
    """"""
    num_ants = 20  # Increased for better exploration
    num_iterations = 200  # Increased for better convergence
    alpha = 1.5  # Higher pheromone influence
    beta = 3  # Higher heuristic influence
    rho = 0.3  # Lower evaporation rate to preserve good solutions
    Q = 150  # Increased pheromone deposit
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,1058.5496336572905,5.276587963104248,"[[0, 30, 26, 16, 12, 7, 13, 21, 18, 0], [0, 24, 14, 27, 20, 5, 25, 10, 29, 22, 0], [0, 17, 19, 31, 3, 2, 23, 6, 0], [0, 15, 9, 8, 4, 11, 28, 0], [0, 1, 0]]",2025-04-17 20:15:19
A-n32-k5,1,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Balanced parameters for exploration and exploitation
    """"""
    num_ants = 15
    num_iterations = 150
    alpha = 1.2
    beta = 2.5
    rho = 0.4
    Q = 120
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,842.2991268758229,3.6256628036499023,"[[0, 27, 24, 14, 26, 30, 16, 1, 0], [0, 20, 5, 25, 10, 15, 9, 22, 8, 18, 29, 0], [0, 7, 13, 31, 19, 17, 21, 0], [0, 6, 3, 2, 23, 28, 11, 4, 0], [0, 12, 0]]",2025-04-17 20:15:22
A-n32-k5,2,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for medium-sized CVRP instances
    """"""
    num_ants = 25
    num_iterations = 250
    alpha = 1.3
    beta = 2.8
    rho = 0.35
    Q = 180
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,947.2272149405086,7.070293188095093,"[[0, 30, 26, 16, 7, 14, 24, 27, 29, 18, 0], [0, 20, 5, 25, 10, 15, 9, 22, 8, 0], [0, 6, 23, 3, 2, 28, 4, 11, 0], [0, 13, 21, 31, 19, 17, 1, 0], [0, 12, 0]]",2025-04-17 20:15:29
A-n32-k5,3,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for better exploration-exploitation balance
    """"""
    num_ants = 30
    num_iterations = 300
    alpha = 1.4
    beta = 2.2
    rho = 0.25
    Q = 200
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,963.5843841316919,9.720425128936768,"[[0, 20, 5, 25, 10, 15, 9, 22, 18, 8, 29, 26, 0], [0, 30, 16, 12, 1, 7, 31, 14, 0], [0, 13, 21, 19, 17, 2, 3, 0], [0, 6, 23, 28, 11, 4, 24, 0], [0, 27, 0]]",2025-04-17 20:15:39
A-n32-k5,4,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for the given dataset characteristics
    """"""
    num_ants = 25
    num_iterations = 200
    alpha = 1.2
    beta = 2.5
    rho = 0.35
    Q = 150
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,943.7315646299206,6.160516262054443,"[[0, 27, 24, 14, 26, 16, 12, 6, 0], [0, 30, 7, 31, 19, 17, 21, 3, 0], [0, 13, 2, 23, 28, 4, 11, 8, 18, 0], [0, 20, 5, 25, 10, 15, 9, 22, 29, 0], [0, 1, 0]]",2025-04-17 20:15:45
A-n37-k5,0,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for better performance
    """"""
    num_ants = 20
    num_iterations = 200
    alpha = 1.5
    beta = 3.0
    rho = 0.3
    Q = 150
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,878.5525606845994,6.02385687828064,"[[0, 15, 21, 16, 22, 13, 5, 33, 10, 14, 3, 0], [0, 34, 36, 29, 32, 28, 31, 26, 30, 25, 18, 0], [0, 1, 12, 17, 23, 24, 9, 27, 8, 11, 0], [0, 7, 4, 6, 2, 19, 20, 0], [0, 35, 0]]",2025-04-17 20:16:39
A-n37-k5,1,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for medium-sized CVRP
    """"""
    num_ants = 15
    num_iterations = 150
    alpha = 1.2
    beta = 2.5
    rho = 0.4
    Q = 120
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,823.4726391606969,4.215625047683716,"[[0, 15, 21, 16, 7, 4, 33, 5, 13, 3, 28, 0], [0, 1, 12, 17, 14, 23, 24, 9, 27, 8, 11, 0], [0, 29, 32, 31, 26, 30, 25, 18, 35, 34, 0], [0, 22, 10, 6, 2, 19, 20, 0], [0, 36, 0]]",2025-04-17 20:16:43
A-n37-k5,2,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for larger CVRP instances
    """"""
    num_ants = 25
    num_iterations = 250
    alpha = 1.8
    beta = 3.5
    rho = 0.2
    Q = 200
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,846.7318706751851,8.495485782623291,"[[0, 15, 21, 16, 7, 4, 29, 36, 34, 0], [0, 1, 12, 17, 14, 23, 24, 9, 11, 8, 27, 3, 0], [0, 22, 13, 5, 33, 10, 2, 19, 20, 0], [0, 35, 18, 26, 30, 25, 32, 28, 31, 0], [0, 6, 0]]",2025-04-17 20:16:51
A-n37-k5,3,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Balanced parameters for the given dataset size
    """"""
    num_ants = 15
    num_iterations = 150
    alpha = 1.2
    beta = 2.8
    rho = 0.35
    Q = 130
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,879.0597993850339,4.183923006057739,"[[0, 15, 21, 16, 7, 4, 33, 10, 14, 17, 1, 3, 0], [0, 30, 25, 35, 18, 26, 28, 31, 32, 34, 29, 0], [0, 36, 13, 5, 6, 2, 20, 23, 24, 9, 0], [0, 12, 19, 11, 27, 8, 0], [0, 22, 0]]",2025-04-17 20:16:56
A-n37-k5,4,"```python
@funsearch.evolve
def construction_heuristic():
    """"""
    Optimized parameters for the given dataset characteristics
    """"""
    num_ants = 18
    num_iterations = 180
    alpha = 1.3
    beta = 2.7
    rho = 0.38
    Q = 140
    return num_ants, num_iterations, alpha, beta, rho, Q
```",True,848.6609013736318,5.305723190307617,"[[0, 15, 21, 16, 7, 4, 33, 5, 13, 14, 0], [0, 29, 32, 28, 31, 26, 30, 35, 18, 34, 25, 0], [0, 1, 12, 17, 23, 24, 8, 27, 11, 9, 3, 0], [0, 22, 10, 2, 19, 20, 6, 0], [0, 36, 0]]",2025-04-17 20:17:01
