dataset,sample_id,response,is_success,total_distance,run_time,routes,timestamp
A-n32-k5,0,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Enhanced heuristic considering both distance and demand utilization
    distance_weight = 1.0
    demand_weight = 0.5
    return distance_weight * ctx.distance - demand_weight * ctx.demand
```",True,1065.1870862702688,4.37383508682251,"[[0, 5, 14, 26, 7, 1, 12, 16, 30, 0], [0, 27, 24, 18, 8, 22, 29, 10, 25, 20, 0], [0, 13, 21, 31, 19, 17, 3, 6, 0], [0, 2, 23, 28, 4, 11, 9, 0], [0, 15, 0]]",2025-04-17 23:28:39
A-n32-k5,1,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Balanced heuristic considering distance, demand and vehicle utilization
    distance_weight = 1.0
    demand_weight = 0.3
    utilization_weight = 0.2
    vehicle_utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    return (distance_weight * ctx.distance 
            - demand_weight * ctx.demand 
            - utilization_weight * vehicle_utilization)
```",True,1065.1870862702688,4.326251029968262,"[[0, 5, 14, 26, 7, 1, 12, 16, 30, 0], [0, 27, 24, 18, 8, 22, 29, 10, 25, 20, 0], [0, 13, 21, 31, 19, 17, 3, 6, 0], [0, 2, 23, 28, 4, 11, 9, 0], [0, 15, 0]]",2025-04-17 23:28:43
A-n32-k5,2,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Combined heuristic with dynamic weights
    distance_weight = 1.2
    demand_weight = 0.4
    utilization_ratio = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    return (distance_weight * ctx.distance 
            - demand_weight * ctx.demand 
            * (1 + utilization_ratio))
```",True,1065.1870862702688,4.370644807815552,"[[0, 5, 14, 26, 7, 1, 12, 16, 30, 0], [0, 27, 24, 18, 8, 22, 29, 10, 25, 20, 0], [0, 13, 21, 31, 19, 17, 3, 6, 0], [0, 2, 23, 28, 4, 11, 9, 0], [0, 15, 0]]",2025-04-17 23:28:47
A-n32-k5,3,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Dynamic heuristic that adapts based on vehicle utilization
    utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    distance_weight = 1.0 - 0.5 * utilization  # Prefer closer nodes when nearly full
    demand_weight = 0.2 + 0.3 * utilization  # More demand-sensitive when space available
    return distance_weight * ctx.distance - demand_weight * ctx.demand
```",True,1110.7911221326867,4.329864978790283,"[[0, 30, 16, 12, 1, 7, 6, 0], [0, 27, 24, 14, 18, 19, 31, 13, 26, 0], [0, 20, 5, 25, 10, 15, 22, 9, 8, 29, 0], [0, 21, 17, 2, 3, 23, 4, 28, 0], [0, 11, 0]]",2025-04-17 23:28:52
A-n32-k5,4,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Adaptive heuristic combining distance, demand and dynamic utilization
    utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    distance_weight = 1.2 - 0.6 * utilization
    demand_weight = 0.5 * (1 + utilization)
    return distance_weight * ctx.distance - demand_weight * ctx.demand
```",True,1110.7911221326867,4.326949119567871,"[[0, 30, 16, 12, 1, 7, 6, 0], [0, 27, 24, 14, 18, 19, 31, 13, 26, 0], [0, 20, 5, 25, 10, 15, 22, 9, 8, 29, 0], [0, 21, 17, 2, 3, 23, 4, 28, 0], [0, 11, 0]]",2025-04-17 23:28:56
A-n32-k5,5,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Distance-penalized heuristic with demand consideration
    distance_penalty = 1.5
    demand_penalty = 0.3
    return ctx.distance * distance_penalty - ctx.demand * demand_penalty
```",True,1115.3931573937427,4.365539073944092,"[[0, 29, 22, 18, 14, 26, 7, 1, 12, 16, 30, 0], [0, 27, 24, 8, 10, 25, 5, 20, 0], [0, 13, 21, 31, 19, 17, 3, 6, 0], [0, 2, 23, 28, 4, 11, 9, 0], [0, 15, 0]]",2025-04-17 23:29:00
A-n32-k5,6,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Dynamic heuristic balancing distance and vehicle utilization
    utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    distance_weight = 1.0 - 0.4 * utilization
    demand_weight = 0.3 + 0.2 * utilization
    return distance_weight * ctx.distance - demand_weight * ctx.demand
```",True,1065.1870862702688,4.342092037200928,"[[0, 5, 14, 26, 7, 1, 12, 16, 30, 0], [0, 27, 24, 18, 8, 22, 29, 10, 25, 20, 0], [0, 13, 21, 31, 19, 17, 3, 6, 0], [0, 2, 23, 28, 4, 11, 9, 0], [0, 15, 0]]",2025-04-17 23:29:05
A-n32-k5,7,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Dynamic heuristic that balances distance, demand and remaining capacity
    remaining_capacity = ctx.vehicle_capacity - ctx.vehicle_load - ctx.demand
    capacity_ratio = remaining_capacity / ctx.vehicle_capacity
    distance_weight = 1.0 - 0.5 * (1 - capacity_ratio)
    demand_weight = 0.3 + 0.4 * (1 - capacity_ratio)
    return distance_weight * ctx.distance - demand_weight * ctx.demand
```",True,1110.7911221326867,4.367933034896851,"[[0, 30, 16, 12, 1, 7, 6, 0], [0, 27, 24, 14, 18, 19, 31, 13, 26, 0], [0, 20, 5, 25, 10, 15, 22, 9, 8, 29, 0], [0, 21, 17, 2, 3, 23, 4, 28, 0], [0, 11, 0]]",2025-04-17 23:29:09
A-n32-k5,8,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Enhanced heuristic with dynamic weights based on remaining capacity
    remaining_capacity = ctx.vehicle_capacity - ctx.vehicle_load
    capacity_ratio = remaining_capacity / ctx.vehicle_capacity
    
    # Adjust weights dynamically based on remaining capacity
    distance_weight = 0.8 + 0.4 * (1 - capacity_ratio)  # More distance-sensitive when capacity is low
    demand_weight = 0.5 * capacity_ratio  # More demand-sensitive when capacity is high
    
    # Consider both distance and demand with dynamic weights
    return distance_weight * ctx.distance - demand_weight * ctx.demand
```",True,1115.3931573937427,4.349666118621826,"[[0, 29, 22, 18, 14, 26, 7, 1, 12, 16, 30, 0], [0, 27, 24, 8, 10, 25, 5, 20, 0], [0, 13, 21, 31, 19, 17, 3, 6, 0], [0, 2, 23, 28, 4, 11, 9, 0], [0, 15, 0]]",2025-04-17 23:29:13
A-n32-k5,9,"```python
@funsearch.evolve
def construction_heuristic(ctx: ConstructionContext) -> float:
    # Enhanced heuristic combining distance, demand and capacity utilization
    utilization = (ctx.vehicle_load + ctx.demand) / ctx.vehicle_capacity
    distance_weight = 1.2 - 0.7 * utilization
    demand_weight = 0.4 + 0.3 * utilization
    return distance_weight * ctx.distance - demand_weight * ctx.demand
```",True,1110.7911221326867,4.337496995925903,"[[0, 30, 16, 12, 1, 7, 6, 0], [0, 27, 24, 14, 18, 19, 31, 13, 26, 0], [0, 20, 5, 25, 10, 15, 22, 9, 8, 29, 0], [0, 21, 17, 2, 3, 23, 4, 28, 0], [0, 11, 0]]",2025-04-17 23:29:18
